time,MPI-ESM1-2-HR,CESM2-WACCM,IPSL-CM6A-LR,TAIESM1,CMCC-CM2-SR5,EC-EARTH3,MRI-ESM2-0,EC-EARTH3-VEG,INM-CM4-8,CANESM5,BCC-CSM2-MR,CAMS-CSM1-0,INM-CM5-0,ACCESS-CM2,ACCESS-ESM1-5,NORESM2-MM,FGOALS-F3-L,CESM2,GFDL-ESM4
2000.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0
2001.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0
2002.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0
2003.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0
2004.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0
2005.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0
2006.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0
2007.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0
2008.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0
2009.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0
2010.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0
