time,CCSM4,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR,MPI-ESM-LR,GFDL-ESM2G,CANESM2,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0
2000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0
2001.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0
2002.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0
2003.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0
2004.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0
2005.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0
2006.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0
2007.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0
2008.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0
2009.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0
2010.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0
2011.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0
2012.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0
2013.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0
2014.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0
2015.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0
2016.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0
2017.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0
2018.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0
2019.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0
2020.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0
