time,CESM1-CAM5,CCSM4,CNRM-CM5,GISS-E2-R,CSIRO-MK3-6-0,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,CANESM2,GFDL-CM3,IPSL-CM5A-LR
2000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0
2001.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0
2002.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0
2003.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0
2004.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0
2005.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0
2006.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0
2007.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0
2008.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0
2009.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0
2010.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0
