time,CANESM2,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,MPI-ESM-LR,GFDL-CM3,NORESM1-M,GFDL-ESM2G,IPSL-CM5A-LR
2000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0
2001.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0
2002.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0
2003.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0
2004.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0
2005.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0
2006.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0
2007.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0
2008.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0
2009.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0
2010.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0
2011.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0
2012.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0
2013.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0
2014.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0
