time,INM-CM4-8,EC-EARTH3,CESM2,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,FGOALS-F3-L,EC-EARTH3-VEG,INM-CM5-0,CAMS-CSM1-0,MRI-ESM2-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,BCC-CSM2-MR
2000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0
2001.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0
2002.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0
2003.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0
2004.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0
2005.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0
2006.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0
2007.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0
2008.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0
2009.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0
2010.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0
2011.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0
2012.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0
2013.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0
2014.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0
