time,CESM1-CAM5,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,CNRM-CM5,IPSL-CM5A-LR,MPI-ESM-LR,GFDL-CM3,CANESM2,NORESM1-M
2000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0,51715870000.0
2001.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0,51734010000.0
2002.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0,51714744000.0
2003.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0,51694273000.0
2004.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0,51674108000.0
2005.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0,51763480000.0
2006.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0,51649130000.0
2007.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0,51650888000.0
2008.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0,51715240000.0
2009.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0,52237128000.0
2010.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0,51668423000.0
2011.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0,51651570000.0
2012.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0,51686160000.0
