time,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,33950185000.0,33950185000.0,33950185000.0,33950185000.0
2001.0,33624891000.0,33624891000.0,33624891000.0,33624891000.0
2002.0,33502515000.0,33502515000.0,33502515000.0,33502515000.0
2003.0,33499113000.0,33499113000.0,33499113000.0,33499113000.0
2004.0,33951590000.0,33951590000.0,33951590000.0,33951590000.0
2005.0,33930619000.0,33930619000.0,33930619000.0,33930619000.0
2006.0,34093832000.0,34093832000.0,34093832000.0,34093832000.0
2007.0,33819695000.0,33819695000.0,33819695000.0,33819695000.0
2008.0,33581100000.0,33581100000.0,33581100000.0,33581100000.0
2009.0,33630011000.0,33630011000.0,33630011000.0,33630011000.0
2010.0,33767864000.0,33767864000.0,33767864000.0,33767864000.0
2011.0,34136054000.0,34136054000.0,34136054000.0,34136054000.0
2012.0,33651855000.0,33651855000.0,33651855000.0,33651855000.0
2013.0,33542490000.0,33542490000.0,33542490000.0,33542490000.0
2014.0,33515624000.0,33515624000.0,33515624000.0,33515624000.0
2015.0,33558490000.0,33558490000.0,33558490000.0,33558490000.0
2016.0,34526530000.0,34526530000.0,34526530000.0,34526530000.0
2017.0,33548995000.0,33548995000.0,33548995000.0,33548995000.0
2018.0,33549253000.0,33549253000.0,33549253000.0,33549253000.0
2019.0,33513791000.0,33513791000.0,33513791000.0,33513791000.0
2020.0,33678086000.0,33678086000.0,33678086000.0,33678086000.0
2021.0,33476205000.0,33364916000.0,33409554000.0,33430553000.0
2022.0,33248645000.0,33299853000.0,33621070000.0,33403087000.0
2023.0,33111562000.0,33200337000.0,33703518000.0,33245573000.0
2024.0,32980466000.0,33122683000.0,33367044000.0,33164915000.0
2025.0,32823378000.0,33073232000.0,33269970000.0,33105244000.0
2026.0,32624884000.0,32937757000.0,33158015000.0,33032503000.0
2027.0,33370845000.0,32873396000.0,33079976000.0,32890933000.0
2028.0,32491262000.0,32760404000.0,33012703000.0,32776636000.0
2029.0,32217154000.0,32782873000.0,32872243000.0,32701690000.0
2030.0,31960068000.0,32546744000.0,32800023000.0,32625015000.0
2031.0,31674286000.0,32478728000.0,32720257000.0,32496360000.0
2032.0,31423250000.0,32368695000.0,32593834000.0,32421462000.0
2033.0,31093688000.0,32163973000.0,32476484000.0,32222462000.0
2034.0,30883424000.0,32100975000.0,32306321000.0,32036248000.0
2035.0,30325148000.0,32445217000.0,32138758000.0,31876987000.0
2036.0,29939296000.0,32178248000.0,32031453000.0,31691018000.0
2037.0,29504733000.0,31835617000.0,31869784000.0,31506315000.0
2038.0,29119949000.0,31617114000.0,31721028000.0,31221668000.0
2039.0,28440738000.0,31374834000.0,31468820000.0,30911631000.0
2040.0,28977306000.0,31097317000.0,31214787000.0,30744680000.0
2041.0,27856820000.0,30812113000.0,30859380000.0,30374121000.0
2042.0,27538532000.0,30593040000.0,30632890000.0,30092800000.0
2043.0,26704312000.0,30274240000.0,30335269000.0,29700010000.0
