time,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5
2000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0
2001.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0
2002.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0
2003.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0
2004.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0
2005.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0
2006.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0
2007.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0
2008.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0
2009.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0
2010.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0
2011.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0
2012.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0
2013.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0
2014.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0
2015.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0
2016.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0
2017.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0
2018.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0
2019.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0
2020.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0
2021.0,148142093749000.0,148164191460000.0,148177934370000.0,148077040692000.0
2022.0,147486118372000.0,147422955955000.0,147809008738000.0,147487578241000.0
2023.0,146883756607000.0,146865280885000.0,147061621321000.0,146852570552000.0
2024.0,146363871869000.0,146452841223000.0,146439294134000.0,146141975715000.0
2025.0,145698924953000.0,145828838418000.0,145864209903000.0,145304876384000.0
2026.0,145026914616000.0,145026275516000.0,145283785443000.0,144740129324000.0
2027.0,144345198562000.0,144588381712000.0,144738998931000.0,144136899241000.0
2028.0,143729294834000.0,143989214914000.0,144047729184000.0,143327906374000.0
2029.0,143143623839000.0,143428669644000.0,143508647578000.0,142433221796000.0
2030.0,142701220642000.0,142749001479000.0,143014955973000.0,141855266529000.0
2031.0,142261981097000.0,141912749729000.0,142215126458000.0,140983292315000.0
2032.0,141746787494000.0,141123863538000.0,141503889296000.0,140061566185000.0
2033.0,141094951216000.0,140427962407000.0,140849763779000.0,139231140337000.0
2034.0,140427693695000.0,139823857397000.0,140113265638000.0,138321184733000.0
2035.0,139752464498000.0,139307136575000.0,139408192971000.0,137414752258000.0
2036.0,139114998993000.0,138734049292000.0,138695197040000.0,136451090068000.0
2037.0,138405152272000.0,138080371116000.0,137880506053000.0,135600279616000.0
2038.0,137372860096000.0,137318066718000.0,137017126647000.0,134624845767000.0
2039.0,136543538102000.0,136635821274000.0,136089262156000.0,133628039425000.0
2040.0,135688734393000.0,135891279453000.0,135322152893000.0,132742853020000.0
2041.0,134888502713000.0,135110596332000.0,134465471997000.0,131676761309000.0
2042.0,133969694020000.0,134445484300000.0,133431758574000.0,130439036269000.0
2043.0,133224586282000.0,133564018949000.0,132463261633000.0,129342851502000.0
2044.0,132237603945000.0,132648105317000.0,131659945725000.0,128218431065000.0
2045.0,131347959364000.0,131699111129000.0,130588426675000.0,127172423401000.0
2046.0,130461679552000.0,130649611489000.0,129715927620000.0,126029950819000.0
2047.0,129639641657000.0,129745663662000.0,128615091667000.0,124980196419000.0
2048.0,128783467184000.0,128769274917000.0,127564698832000.0,123675301112000.0
2049.0,127815712837000.0,127788811021000.0,126568381021000.0,122558017605000.0
2050.0,126761524324000.0,126963663825000.0,125497899774000.0,121483312603000.0
2051.0,125771463298000.0,126111986678000.0,124487754417000.0,120432451203000.0
2052.0,124590085336000.0,125199515259000.0,123536216678000.0,119197219687000.0
2053.0,123436942466000.0,124246188086000.0,122353483738000.0,118074202322000.0
2054.0,122315488436000.0,123237323444000.0,121243372825000.0,116949165958000.0
2055.0,121352516857000.0,122222177289000.0,120239563251000.0,115713430715000.0
2056.0,120111335559000.0,121211619392000.0,119312343958000.0,114573099995000.0
2057.0,118872761935000.0,120318018571000.0,118361281924000.0,113227090340000.0
2058.0,117790421595000.0,119272069102000.0,117286440065000.0,112013068725000.0
2059.0,116667194977000.0,118354942354000.0,116310962437000.0,110856903969000.0
2060.0,115740481995000.0,117458174519000.0,115512926291000.0,109494395851000.0
2061.0,114783887372000.0,116348197546000.0,114520370499000.0,108377222518000.0
2062.0,113798988588000.0,115289600444000.0,113614206972000.0,107203948332000.0
2063.0,112797637558000.0,114185864589000.0,112936840611000.0,106065140394000.0
2064.0,111746462077600.0,113304499062000.0,111974177273000.0,104941920194000.0
2065.0,110609789280500.0,112359925576000.0,111051976490000.0,103768180553400.0
2066.0,109642340144000.0,111484351472000.0,110122273329000.0,102639219034700.0
2067.0,108599222207400.0,110535048873000.0,109365950809000.0,101617399988500.0
2068.0,107591953080000.0,109635567092600.0,108768842515000.0,100478443582400.0
2069.0,106637960645000.0,108581350296000.0,108138937704000.0,99242762760000.0
2070.0,105666911131700.0,107670388023000.0,107424763623000.0,98265640396400.0
2071.0,104614603299000.0,106827524952400.0,106644093379000.0,97367367773100.0
2072.0,103608466344000.0,105915815254000.0,105785007042000.0,96160724936400.0
2073.0,102694155319000.0,105013890370600.0,104961510976000.0,95087122788000.0
2074.0,101827925619300.0,104113699946000.0,104203999730000.0,94371898348000.0
2075.0,101076730896000.0,103281521755400.0,103402767769000.0,93415689287300.0
2076.0,100038424353400.0,102366677740400.0,102636883606000.0,92405759468000.0
2077.0,99285825257500.0,101634776222400.0,101770414446000.0,91319326083000.0
2078.0,98370560393300.0,100814476701700.0,101058451002000.0,90413874141100.0
2079.0,97436027300000.0,100116539975000.0,100243907397000.0,89561029240300.0
2080.0,96494661063000.0,99437635524000.0,99432148726000.0,88911856379000.0
2081.0,95813011349600.0,98908433292000.0,98606163268000.0,88083112333200.0
2082.0,95203785688300.0,98151304344600.0,97894197429000.0,87263907629000.0
2083.0,94359077708300.0,97345567914000.0,97179881188000.0,86435303673300.0
2084.0,93499261888300.0,96651687294000.0,96478597678000.0,85501118895000.0
2085.0,92849200725700.0,95930061465600.0,95765750663000.0,84759411480900.0
2086.0,92333881665000.0,95236315865700.0,95275187178000.0,84105082670400.0
2087.0,91664219671000.0,94498055805500.0,94924023778000.0,83431112986700.0
2088.0,90888546598700.0,93957095992000.0,94540228869000.0,82693717548900.0
2089.0,90151676814500.0,93386464386000.0,94143487586000.0,81942783151000.0
2090.0,89440164727600.0,92614395013400.0,93623239081000.0,81233845463000.0
2091.0,88620950251600.0,91997396708000.0,93199915070000.0,80567482494000.0
2092.0,88028118911600.0,91368310253600.0,92600576705000.0,80044169430400.0
2093.0,87471397286000.0,90688955002600.0,92160885896000.0,79459650500400.0
2094.0,86742860559600.0,90128241058000.0,91552507647000.0,78711351011600.0
2095.0,86014341389300.0,89520137295000.0,91143225171000.0,78021860423500.0
2096.0,85262799983400.0,88978995822500.0,90789407568000.0,77203557876300.0
2097.0,84604377079300.0,88494672990000.0,90458041399000.0,76574911262700.0
2098.0,83945919667700.0,87906066750000.0,90073267762000.0,76048235091700.0
2099.0,83403974581000.0,87425754487600.0,89734778839000.0,75478326723000.0
2100.0,82781098091000.0,86905597496000.0,89326179994000.0,74772589333100.0
