time,BCC-CSM2-MR,CAMS-CSM1-0,EC-EARTH3,NORESM2-MM,FGOALS-F3-L,INM-CM4-8,MPI-ESM1-2-HR,CESM2-WACCM,CESM2,INM-CM5-0,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4
2000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0
2001.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0
2002.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0
2003.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0
2004.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0
2005.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0
2006.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0
2007.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0
2008.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0
2009.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0
