time,CESM2-WACCM,CAMS-CSM1-0,CESM2,IPSL-CM6A-LR,MRI-ESM2-0,EC-EARTH3,EC-EARTH3-VEG,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,GFDL-ESM4,ACCESS-CM2,MPI-ESM1-2-HR,NORESM2-MM
2000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0
2001.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0
2002.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0
2003.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0
2004.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0
2005.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0
2006.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0
2007.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0
2008.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0
2009.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0
