,n_glaciers,n_missing_glaciers,rgi_area_km2,missing_area_km2,missing_area_perc
RGI12,1888,409,1306.992,160.691,0.12294719478007517
RGI06,568,420,11059.699999999999,963.3929999999999,0.08710842066240494
RGI08,3417,1152,2949.103,237.02100000000002,0.08037053978786092
RGI10,5151,243,2410.051,94.172,0.039074691780381414
RGI05,19306,1662,89717.06599999999,1467.7849999999999,0.016360153819564273
RGI07,1615,48,33958.933999999994,238.343,0.007018565423755647
RGI13,54429,862,49303.41500000001,311.203,0.006311996846465907
RGI14,27988,501,33568.298,102.78199999999998,0.003061877012650447
RGI19,2752,633,132867.219,377.671,0.002842469367858147
RGI04,7415,313,40888.228,100.893,0.002467531730648733
RGI17,15908,132,29429.079999999998,58.999,0.0020047857425376536
RGI03,4556,126,105110.64199999999,201.88300000000004,0.001920671362658027
RGI02,18855,461,14524.224,18.732000000000006,0.0012897074570042439
RGI15,13119,58,14734.204,14.868999999999998,0.0010091485091424008
RGI09,1069,9,51591.6,40.895,0.0007926677986338862
RGI11,3927,36,2092.1459999999997,1.327,0.0006342769577266597
RGI16,2939,12,2341.036,0.7100000000000002,0.00030328452873001536
RGI01,27108,73,86725.053,14.635,0.00016875169854321104
RGI18,3537,1,1161.801,0.052,4.475809540532329e-05
