time,CESM2-WACCM,CAMS-CSM1-0,CESM2,IPSL-CM6A-LR,MRI-ESM2-0,EC-EARTH3,EC-EARTH3-VEG,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,GFDL-ESM4,ACCESS-CM2,MPI-ESM1-2-HR,NORESM2-MM
2000.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0
2001.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0
2002.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0
2003.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0
2004.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0
2005.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0
2006.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0
2007.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0
2008.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0
2009.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0
