time,MRI-ESM2-0,GFDL-ESM4,TAIESM1,ACCESS-ESM1-5,IPSL-CM6A-LR,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG,NORESM2-MM,CMCC-CM2-SR5,EC-EARTH3,CESM2,CANESM5,BCC-CSM2-MR,FGOALS-F3-L,INM-CM4-8,INM-CM5-0,ACCESS-CM2,MPI-ESM1-2-HR
2000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0
2001.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0
2002.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0
2003.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0
2004.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0
2005.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0
2006.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0
2007.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0
2008.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0
2009.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0
2010.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0
2011.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0
2012.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0
