time,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM,CANESM5
2000.0,3646099600000.0,3646099600000.0,3646099600000.0,3646099600000.0
2001.0,3630449600000.0,3630449600000.0,3630449600000.0,3630449600000.0
2002.0,3619795200000.0,3619795200000.0,3619795200000.0,3619795200000.0
2003.0,3617222000000.0,3617222000000.0,3617222000000.0,3617222000000.0
2004.0,3606108000000.0,3606108000000.0,3606108000000.0,3606108000000.0
2005.0,3592676700000.0,3592676700000.0,3592676700000.0,3592676700000.0
2006.0,3585865000000.0,3585865000000.0,3585865000000.0,3585865000000.0
2007.0,3578603800000.0,3578603800000.0,3578603800000.0,3578603800000.0
2008.0,3577170600000.0,3577170600000.0,3577170600000.0,3577170600000.0
2009.0,3558707000000.0,3558707000000.0,3558707000000.0,3558707000000.0
2010.0,3553073000000.0,3553073000000.0,3553073000000.0,3553073000000.0
2011.0,3528993800000.0,3528993800000.0,3528993800000.0,3528993800000.0
2012.0,3530225400000.0,3530225400000.0,3530225400000.0,3530225400000.0
2013.0,3529745000000.0,3529745000000.0,3529745000000.0,3529745000000.0
2014.0,3528008000000.0,3528008000000.0,3528008000000.0,3528008000000.0
2015.0,3516553500000.0,3516553500000.0,3516553500000.0,3516553500000.0
2016.0,3514765000000.0,3514765000000.0,3514765000000.0,3514765000000.0
2017.0,3497463400000.0,3497463400000.0,3497463400000.0,3497463400000.0
2018.0,3480095800000.0,3480095800000.0,3480095800000.0,3480095800000.0
2019.0,3475432300000.0,3475432300000.0,3475432300000.0,3475432300000.0
2020.0,3452667200000.0,3452667200000.0,3452667200000.0,3452667200000.0
2021.0,3436898200000.0,3440292100000.0,3440262800000.0,3421619600000.0
2022.0,3420166800000.0,3432394800000.0,3416984600000.0,3396309000000.0
2023.0,3397261000000.0,3416019200000.0,3398972200000.0,3352108200000.0
2024.0,3364830600000.0,3410068500000.0,3386482400000.0,3310856200000.0
2025.0,3338004900000.0,3397741200000.0,3375626500000.0,3276266000000.0
2026.0,3314013000000.0,3382885000000.0,3354710200000.0,3233035300000.0
2027.0,3288984200000.0,3367123000000.0,3341791300000.0,3202644700000.0
2028.0,3278242300000.0,3344120400000.0,3324515700000.0,3163048400000.0
2029.0,3248609000000.0,3334624500000.0,3303056000000.0,3119565200000.0
2030.0,3219352500000.0,3313641000000.0,3292805700000.0,3087815000000.0
2031.0,3189447300000.0,3292898800000.0,3264211800000.0,3046997200000.0
2032.0,3158917500000.0,3271302800000.0,3247142600000.0,3010559700000.0
2033.0,3124963000000.0,3253616800000.0,3227021200000.0,2975724000000.0
2034.0,3092371500000.0,3237870600000.0,3209033400000.0,2937144700000.0
2035.0,3052132400000.0,3212327300000.0,3188581500000.0,2901892000000.0
2036.0,3022713500000.0,3202676700000.0,3178280800000.0,2859798400000.0
2037.0,3002079400000.0,3191330600000.0,3156523400000.0,2826860000000.0
2038.0,2963300700000.0,3174441000000.0,3140114700000.0,2789233700000.0
2039.0,2939071200000.0,3154344400000.0,3130401800000.0,2746303600000.0
2040.0,2909504000000.0,3132427000000.0,3111289400000.0,2697744400000.0
2041.0,2879279300000.0,3110034700000.0,3095911200000.0,2652227800000.0
2042.0,2851445000000.0,3087324700000.0,3074550100000.0,2617607000000.0
2043.0,2813321300000.0,3066890600000.0,3065270500000.0,2582786900000.0
2044.0,2782237000000.0,3047215300000.0,3048218800000.0,2540254800000.0
2045.0,2740391200000.0,3022244300000.0,3028377100000.0,2484794000000.0
2046.0,2705857700000.0,2993175400000.0,3017288700000.0,2431449300000.0
2047.0,2666891300000.0,2973424000000.0,3000814800000.0,2385173300000.0
2048.0,2632039800000.0,2941861200000.0,2982842000000.0,2337731000000.0
2049.0,2605427000000.0,2921458600000.0,2968036300000.0,2283472700000.0
2050.0,2569884400000.0,2905822200000.0,2944736400000.0,2232166000000.0
2051.0,2546313700000.0,2871744500000.0,2926725000000.0,2181939100000.0
2052.0,2511798500000.0,2849948000000.0,2900291500000.0,2128813000000.0
2053.0,2485650500000.0,2820459500000.0,2877609200000.0,2084532100000.0
2054.0,2459989700000.0,2801952000000.0,2849836600000.0,2029456600000.0
2055.0,2435725100000.0,2774361000000.0,2828883000000.0,1971497500000.0
2056.0,2406428000000.0,2753836000000.0,2810817500000.0,1925137300000.0
2057.0,2388430000000.0,2728831700000.0,2795307500000.0,1869469000000.0
2058.0,2364166000000.0,2699886000000.0,2779647800000.0,1818728100000.0
