time,MPI-ESM1-2-HR,NORESM2-MM,CESM2-WACCM,CAMS-CSM1-0,GFDL-ESM4,IPSL-CM6A-LR,ACCESS-CM2,CESM2,BCC-CSM2-MR,FGOALS-F3-L,EC-EARTH3-VEG,CANESM5,ACCESS-ESM1-5,MRI-ESM2-0,EC-EARTH3,INM-CM4-8,INM-CM5-0
2000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0
2001.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0
2002.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0
2003.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0
2004.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0
2005.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0
2006.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0
2007.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0
2008.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0
2009.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0
2010.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0
2011.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0
2012.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0
2013.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0
2014.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0
2015.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0
2016.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0
2017.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0
2018.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0,44771683000000.0
