time,GFDL-CM3,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,CSIRO-MK3-6-0,CANESM2,CESM1-CAM5,GFDL-ESM2G,CCSM4,NORESM1-M,IPSL-CM5A-LR
2000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0,27424945000000.0
2001.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0,27413078000000.0
2002.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0,27395938000000.0
2003.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0,27383954000000.0
2004.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0,27336947000000.0
2005.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0,27371416000000.0
2006.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0,27337857000000.0
2007.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0,27347927000000.0
2008.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0,27260654000000.0
2009.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0,27193476000000.0
2010.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0,27085737000000.0
2011.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0,27018356000000.0
2012.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0,26937538000000.0
2013.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0,26812890000000.0
2014.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0,26872640000000.0
