time,EC-EARTH3-VEG,NORESM2-MM,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,CESM2,EC-EARTH3,MPI-ESM1-2-HR,INM-CM5-0,INM-CM4-8,CESM2-WACCM,CAMS-CSM1-0,CMCC-CM2-SR5,MRI-ESM2-0
2000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0
2001.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0
2002.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0
2003.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0
2004.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0
2005.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0
2006.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0
2007.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0
2008.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0
2009.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0
2010.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0
2011.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0
2012.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0
2013.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0
2014.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0
