time,CESM2-WACCM,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0
2001.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0
2002.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0
2003.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0
2004.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0
2005.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0
2006.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0
2007.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0
2008.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0
2009.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0
2010.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0
2011.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0
2012.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0
2013.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0
2014.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0
2015.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0
2016.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0
2017.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0
2018.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0
2019.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0
2020.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0
2021.0,87768740000.0,88392090000.0,87527350000.0,87517850000.0
2022.0,87476500000.0,87682180000.0,87593590000.0,87381440000.0
2023.0,87411565000.0,87784540000.0,87189120000.0,87071060000.0
2024.0,87319430000.0,87095140000.0,87215910000.0,86931810000.0
2025.0,87015770000.0,86802720000.0,87361870000.0,86916340000.0
2026.0,86908050000.0,86660840000.0,86936490000.0,86623250000.0
2027.0,86914840000.0,86694320000.0,86826254000.0,86719850000.0
2028.0,86918690000.0,86277510000.0,86649300000.0,86580700000.0
2029.0,86486710000.0,86043710000.0,86379370000.0,86333964000.0
2030.0,86389610000.0,85914755000.0,86215970000.0,86180870000.0
2031.0,86128116000.0,85847530000.0,86398670000.0,85894420000.0
2032.0,86072170000.0,85197955000.0,85722210000.0,85603390000.0
2033.0,85767430000.0,85263520000.0,85445616000.0,85468820000.0
2034.0,85521160000.0,84628940000.0,85184540000.0,85122820000.0
2035.0,85428060000.0,84486460000.0,85182060000.0,84883280000.0
2036.0,85516165000.0,83883270000.0,84921040000.0,84841040000.0
2037.0,85074870000.0,83557290000.0,84722336000.0,84505490000.0
2038.0,84767195000.0,83289506000.0,84509110000.0,84054120000.0
2039.0,84485670000.0,83112165000.0,83916005000.0,83764855000.0
2040.0,84088090000.0,82437510000.0,84864885000.0,83828130000.0
2041.0,83847315000.0,81752420000.0,83364250000.0,83577000000.0
2042.0,83651390000.0,81084930000.0,83231285000.0,82808450000.0
2043.0,83304050000.0,80499180000.0,82495275000.0,82302320000.0
2044.0,82948730000.0,80490850000.0,82137590000.0,81885650000.0
2045.0,82722620000.0,79671530000.0,81780050000.0,81321230000.0
2046.0,82196380000.0,79025390000.0,81511160000.0,80802840000.0
2047.0,81956370000.0,78442970000.0,81151850000.0,80253790000.0
2048.0,81718330000.0,77936490000.0,80406780000.0,79696716000.0
2049.0,81442360000.0,77423410000.0,80024030000.0,79312500000.0
2050.0,80815870000.0,76763780000.0,79722040000.0,78891150000.0
2051.0,80405340000.0,76079550000.0,78964260000.0,78290756000.0
2052.0,79843205000.0,75213505000.0,79062060000.0,77767830000.0
2053.0,79239200000.0,74548950000.0,78062250000.0,77119390000.0
2054.0,78697550000.0,73875680000.0,77748560000.0,76597380000.0
2055.0,78142460000.0,72968225000.0,77037190000.0,76262390000.0
2056.0,77526475000.0,72987935000.0,77100720000.0,75546130000.0
2057.0,77072196000.0,71978980000.0,76367640000.0,75081510000.0
2058.0,76546360000.0,71083680000.0,75747566000.0,74420584000.0
2059.0,75949750000.0,70345080000.0,75271790000.0,73824120000.0
2060.0,75472480000.0,69545110000.0,74830990000.0,73368764000.0
2061.0,74778880000.0,69053530000.0,73816080000.0,72788890000.0
2062.0,74188530000.0,68277070000.0,73083620000.0,72319270000.0
