time,CMCC-CM2-SR5,EC-EARTH3,INM-CM5-0,INM-CM4-8,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,MRI-ESM2-0,CESM2,MPI-ESM1-2-HR,NORESM2-MM,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4
2000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0,135861570000.0
2001.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0,136269380000.0
2002.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0,136406290000.0
2003.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0,135867640000.0
2004.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0,135917010000.0
2005.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0,135682450000.0
2006.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0,135495100000.0
2007.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0,135323116000.0
2008.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0,135374180000.0
2009.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0,135271170000.0
