time,CESM2,INM-CM5-0,EC-EARTH3-VEG,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,MRI-ESM2-0
2000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0
2001.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0
2002.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0
2003.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0
2004.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0
2005.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0
2006.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0
2007.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0
2008.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0
2009.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0
