time,INM-CM4-8,CAMS-CSM1-0,ACCESS-ESM1-5,BCC-CSM2-MR,EC-EARTH3,MRI-ESM2-0,FGOALS-F3-L,GFDL-ESM4,NORESM2-MM,EC-EARTH3-VEG,CANESM5,CESM2-WACCM,ACCESS-CM2,CESM2,INM-CM5-0,IPSL-CM6A-LR,MPI-ESM1-2-HR
2000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0
2001.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0
2002.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0
2003.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0
2004.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0
2005.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0
2006.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0
2007.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0
2008.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0
2009.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0
2010.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0
2011.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0
2012.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0
