time,CANESM5,CESM2-WACCM,MRI-ESM2-0,ACCESS-CM2,IPSL-CM6A-LR,ACCESS-ESM1-5
2000.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0
2001.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0
2002.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0
2003.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0
2004.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0
2005.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0
2006.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0
2007.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0
2008.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0
2009.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0
2010.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0
2011.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0
2012.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0
2013.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0
2014.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0
2015.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0
2016.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0
2017.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0
2018.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0
2019.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0
2020.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0
