time,CNRM-CM6-1,IITM-ESM,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL,EC-EARTH3,MIROC6,CESM2-WACCM,TAIESM1,KACE-1-0-G,MRI-ESM2-0,MPI-ESM1-2-HR,CANESM5,GFDL-ESM4
2000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0
2001.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0
2002.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0
2003.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0
2004.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0
2005.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0
2006.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0
2007.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0
2008.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0
2009.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0
2010.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0
2011.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0
2012.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0
2013.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0
2014.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0
