time,ACCESS-CM2,CANESM5,ACCESS-ESM1-5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0,2759127800.0
2001.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0,2783763500.0
2002.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0,2755074300.0
2003.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0,2734472400.0
2004.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0,2737285600.0
2005.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0,2725387500.0
2006.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0,2740770600.0
2007.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0,2716115700.0
2008.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0,2742563000.0
2009.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0,2724116000.0
2010.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0,2706896100.0
2011.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0,2706562000.0
2012.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0,2707589000.0
2013.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0,2717896400.0
2014.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0,2694798600.0
2015.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0,2683665200.0
2016.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0,2748370200.0
2017.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0,2680201500.0
2018.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0,2688891600.0
2019.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0,2662795300.0
2020.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0,2663309600.0
2021.0,2644763100.0,2639485400.0,2651498800.0,2654828000.0,2656491300.0,2667975200.0
