time,CNRM-CM6-1,GFDL-ESM4,IITM-ESM,EC-EARTH3,MPI-ESM1-2-HR,UKESM1-0-LL,CNRM-ESM2-1,CESM2-WACCM,MIROC6,TAIESM1,IPSL-CM6A-LR,KACE-1-0-G,MRI-ESM2-0,CANESM5
2000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0,10069818000.0
2001.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0,10066885000.0
2002.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0,10064774000.0
2003.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0,10064067000.0
2004.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0,10060607000.0
2005.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0,10057382000.0
2006.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0,10053780000.0
2007.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0,10051875000.0
2008.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0,10049721000.0
2009.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0,10045488000.0
2010.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0,10044064000.0
2011.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0,10038074000.0
