time,GFDL-CM3,NORESM1-M,GFDL-ESM2G,CCSM4,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0,45436640000000.0
2001.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0,45431430000000.0
2002.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0,45427173000000.0
2003.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0,45308147000000.0
2004.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0,45274123000000.0
2005.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0,45248147000000.0
2006.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0,45278700000000.0
2007.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0,45181076000000.0
2008.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0,45126584000000.0
2009.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0,45108464000000.0
2010.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0,45024557000000.0
2011.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0,44999513000000.0
2012.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0,44934426000000.0
2013.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0,44941443000000.0
2014.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0,44843010000000.0
2015.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0,44927620000000.0
2016.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0,44898586000000.0
2017.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0,44911670000000.0
