time,MRI-ESM2-0,KACE-1-0-G,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL,IITM-ESM,TAIESM1,MPI-ESM1-2-HR,MIROC6,GFDL-ESM4,CESM2-WACCM,EC-EARTH3,CNRM-CM6-1
2000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0,19611645000000.0
2001.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0,19650295000000.0
2002.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0,19627940000000.0
2003.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0,19581144000000.0
2004.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0,19518582000000.0
2005.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0,19432791000000.0
2006.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0,19355163000000.0
2007.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0,19307688000000.0
2008.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0,19223886000000.0
2009.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0,19243513000000.0
2010.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0,19159176000000.0
2011.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0,19076510000000.0
2012.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0,19031612000000.0
2013.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0,18987550000000.0
2014.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0,18889455000000.0
2015.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0,18804678000000.0
2016.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0,18727611000000.0
2017.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0,18547252000000.0
2018.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0,18422369000000.0
2019.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0,18303769000000.0
2020.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0,18123168000000.0
