time,CCSM4,CANESM2,IPSL-CM5A-LR,MPI-ESM-LR,GISS-E2-R,GFDL-ESM2G,CSIRO-MK3-6-0,NORESM1-M,CNRM-CM5,CESM1-CAM5,GFDL-CM3
2000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0
2001.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0
2002.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0
2003.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0
2004.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0
2005.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0
2006.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0
2007.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0
2008.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0
2009.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0
2010.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0
2011.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0
