time,NORESM1-M,CCSM4,IPSL-CM5A-LR,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,GFDL-CM3,GFDL-ESM2G,GISS-E2-R,MPI-ESM-LR
2000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0
2001.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0
2002.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0
2003.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0
2004.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0
2005.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0
2006.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0
2007.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0
2008.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0
2009.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0
2010.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0
2011.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0
2012.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0
