time,EC-EARTH3-VEG,MRI-ESM2-0,GFDL-ESM4,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,INM-CM5-0,INM-CM4-8,CESM2-WACCM,CAMS-CSM1-0
2000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0
2001.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0
2002.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0
2003.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0
2004.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0
2005.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0
2006.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0
2007.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0
2008.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0
2009.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0
