time,TAIESM1,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL,IITM-ESM,CANESM5,MRI-ESM2-0,KACE-1-0-G,CNRM-CM6-1,EC-EARTH3,MIROC6,CESM2-WACCM,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0
2001.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0
2002.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0
2003.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0
2004.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0
2005.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0
2006.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0
2007.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0
2008.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0
2009.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0
2010.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0
