time,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,CANESM2,MPI-ESM-LR,CCSM4,GFDL-ESM2G,NORESM1-M,CNRM-CM5,CSIRO-MK3-6-0
2000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0
2001.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0
2002.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0
2003.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0
2004.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0
2005.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0
2006.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0
2007.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0
2008.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0
2009.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0
2010.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0
2011.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0
2012.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0
2013.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0
2014.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0
2015.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0
2016.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0
