time,CESM2-WACCM,INM-CM5-0,ACCESS-ESM1-5,GFDL-ESM4,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,BCC-CSM2-MR,MPI-ESM1-2-HR,CAMS-CSM1-0,CESM2,EC-EARTH3-VEG,NORESM2-MM,EC-EARTH3,ACCESS-CM2,INM-CM4-8,FGOALS-F3-L
2000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0
2001.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0
2002.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0
2003.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0
2004.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0
2005.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0
2006.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0
2007.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0
2008.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0
2009.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0
