time,CSIRO-MK3-6-0,IPSL-CM5A-LR,GISS-E2-R,CCSM4,GFDL-CM3,CNRM-CM5,NORESM1-M,GFDL-ESM2G,MPI-ESM-LR,CANESM2
2000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0,2144342000.0
2001.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0,2152582400.0
2002.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0,2144037400.0
2003.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0,2204127500.0
2004.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0,2122206500.0
2005.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0,2116603100.0
2006.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0,2103998600.0
2007.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0,2089539100.0
2008.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0,2088890100.0
2009.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0,2116981200.0
2010.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0,2080208600.0
2011.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0,2094509400.0
2012.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0,2059280400.0
2013.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0,2050092700.0
2014.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0,2052320900.0
2015.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0,2067217300.0
2016.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0,2019690500.0
2017.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0,2008825900.0
2018.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0,1989700000.0
