time,MPI-ESM-LR,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR,CNRM-CM5,NORESM1-M,CESM1-CAM5,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,CCSM4
2000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0
2001.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0
2002.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0
2003.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0
2004.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0
2005.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0
2006.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0
2007.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0
2008.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0
2009.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0
2010.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0
