time,GFDL-ESM2G,GFDL-CM3,CESM1-CAM5,CNRM-CM5,GISS-E2-R,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,NORESM1-M,MPI-ESM-LR,CCSM4
2000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0
2001.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0
2002.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0
2003.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0
2004.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0
2005.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0
2006.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0
2007.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0
2008.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0
2009.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0
2010.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0
2011.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0
2012.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0
2013.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0
2014.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0
2015.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0
2016.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0
2017.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0
2018.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0
