time,TAIESM1,IITM-ESM,UKESM1-0-LL,IPSL-CM6A-LR,KACE-1-0-G,MRI-ESM2-0,CESM2-WACCM,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0
2001.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0
2002.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0
2003.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0
2004.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0
2005.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0
2006.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0
2007.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0
2008.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0
2009.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0
2010.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0
2011.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0
2012.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0
2013.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0
2014.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0
2015.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0
2016.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0
2017.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0
2018.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0
2019.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0
2020.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0
2021.0,148891605503000.0,149060748126000.0,148674773921000.0,149000291575000.0,148841640847000.0,148851626969000.0,149041786822000.0,148855499957000.0,149012664664000.0
