time,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,IPSL-CM5A-LR,GFDL-ESM2G,MPI-ESM-LR
2000.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0
2001.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0
2002.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0
2003.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0
2004.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0
2005.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0
2006.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0
2007.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0
2008.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0
2009.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0
2010.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0
2011.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0
2012.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0
2013.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0
2014.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0
2015.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0
2016.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0
2017.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0
2018.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0
