time,TAIESM1,UKESM1-0-LL,GFDL-ESM4,IITM-ESM,CESM2-WACCM,MRI-ESM2-0,KACE-1-0-G,MPI-ESM1-2-HR,IPSL-CM6A-LR
2000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0
2001.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0
2002.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0
2003.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0
2004.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0
2005.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0
2006.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0
2007.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0
2008.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0
2009.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0
2010.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0
2011.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0
2012.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0
