time,NORESM1-M,CCSM4,IPSL-CM5A-LR,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,GFDL-CM3,GFDL-ESM2G,GISS-E2-R,MPI-ESM-LR
2000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0
2001.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0
2002.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0
2003.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0
2004.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0
2005.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0
2006.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0
2007.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0
2008.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0
2009.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0
2010.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0
2011.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0
2012.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0
2013.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0
2014.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0
2015.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0
2016.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0
2017.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0
2018.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0
