time,MRI-ESM2-0,CANESM5,CESM2-WACCM,IPSL-CM6A-LR
2000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0
2001.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0
2002.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0
2003.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0
2004.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0
2005.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0
2006.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0
2007.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0
2008.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0
2009.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0
2010.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0
2011.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0
2012.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0
2013.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0
2014.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0
2015.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0
2016.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0
2017.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0
2018.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0
2019.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0
2020.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0
2021.0,2759029000000.0,2751214600000.0,2748735300000.0,2753780000000.0
2022.0,2750127800000.0,2721353600000.0,2732146300000.0,2753038400000.0
2023.0,2719897400000.0,2684926800000.0,2711055000000.0,2757338300000.0
2024.0,2697441600000.0,2651941500000.0,2691273900000.0,2740153700000.0
2025.0,2682815000000.0,2616022000000.0,2671608300000.0,2723671700000.0
2026.0,2661538000000.0,2570202400000.0,2642882300000.0,2697111300000.0
2027.0,2627383000000.0,2569541800000.0,2628552000000.0,2678604000000.0
2028.0,2599542300000.0,2533985400000.0,2605616200000.0,2662821000000.0
2029.0,2581942800000.0,2500114300000.0,2598155300000.0,2635757500000.0
2030.0,2568559500000.0,2458318300000.0,2564516500000.0,2621516800000.0
2031.0,2544959000000.0,2413901000000.0,2553984800000.0,2607544300000.0
2032.0,2529649000000.0,2381548400000.0,2534979700000.0,2587055400000.0
2033.0,2496196000000.0,2338294900000.0,2500507000000.0,2568884800000.0
2034.0,2464454300000.0,2317154300000.0,2475824500000.0,2538769200000.0
2035.0,2440362700000.0,2253862700000.0,2478692000000.0,2512344800000.0
2036.0,2412185000000.0,2212702500000.0,2473030600000.0,2499453000000.0
2037.0,2385789800000.0,2171717700000.0,2452205900000.0,2485886400000.0
2038.0,2341596000000.0,2136839800000.0,2428635000000.0,2469105500000.0
2039.0,2299226000000.0,2075470200000.0,2399482700000.0,2442160500000.0
2040.0,2281505300000.0,2081369100000.0,2364040500000.0,2416421400000.0
2041.0,2237308900000.0,2039563700000.0,2330087400000.0,2376107800000.0
2042.0,2207972000000.0,2012049600000.0,2306050400000.0,2358127000000.0
2043.0,2166341200000.0,1951521600000.0,2270340000000.0,2334904000000.0
2044.0,2116686600000.0,1903581500000.0,2243007300000.0,2309054800000.0
2045.0,2082207200000.0,1874133400000.0,2207763100000.0,2279487000000.0
2046.0,2042030300000.0,1838454900000.0,2159355100000.0,2253195600000.0
2047.0,2010072500000.0,1796167300000.0,2132874500000.0,2227910200000.0
2048.0,1959017200000.0,1768832200000.0,2099817900000.0,2188720600000.0
2049.0,1921229100000.0,1732501700000.0,2080598800000.0,2165852700000.0
2050.0,1884489900000.0,1692297600000.0,2044336000000.0,2131816500000.0
2051.0,1860079300000.0,1671095900000.0,2008324900000.0,2104634600000.0
2052.0,1823485600000.0,1641867200000.0,1985080000000.0,2079515200000.0
2053.0,1790049800000.0,1611640200000.0,1958409700000.0,2047398500000.0
2054.0,1770385300000.0,1594078300000.0,1938289500000.0,2024196000000.0
2055.0,1733652500000.0,1566422000000.0,1913266800000.0,1994715600000.0
2056.0,1711372200000.0,1526296100000.0,1902584500000.0,1974941100000.0
2057.0,1681981300000.0,1489860300000.0,1874192100000.0,1944326900000.0
2058.0,1661931100000.0,1460805800000.0,1856915100000.0,1917662900000.0
2059.0,1636216900000.0,1430893800000.0,1844656600000.0,1889039400000.0
2060.0,1610325600000.0,1406605700000.0,1813760600000.0,1855793400000.0
2061.0,1581213300000.0,1383115900000.0,1785584200000.0,1831955600000.0
2062.0,1568792500000.0,1361450000000.0,1760581100000.0,1799669200000.0
2063.0,1556373600000.0,1334271300000.0,1751105700000.0,1774503100000.0
2064.0,1545306900000.0,1319360000000.0,1737798700000.0,1755242600000.0
