time,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL,MRI-ESM2-0
2000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0
2001.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0
2002.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0
2003.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0
2004.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0
2005.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0
2006.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0
2007.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0
2008.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0
2009.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0
2010.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0
2011.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0
2012.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0
2013.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0
2014.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0
2015.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0
2016.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0
2017.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0
2018.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0
2019.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0
2020.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0
2021.0,40422370000.0,40480055000.0,41142920000.0,40407294000.0,40583754000.0
2022.0,40388370000.0,41009550000.0,40463454000.0,40415610000.0,40412205000.0
2023.0,40478130000.0,40780153000.0,40426414000.0,40327820000.0,40307163000.0
2024.0,40297927000.0,40464320000.0,40352560000.0,40373470000.0,40389906000.0
