time,INM-CM5-0,CESM2-WACCM,MRI-ESM2-0,GFDL-ESM4,CAMS-CSM1-0,MPI-ESM1-2-HR,CESM2,BCC-CSM2-MR,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,EC-EARTH3
2000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0
2001.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0
2002.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0
2003.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0
2004.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0
2005.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0
2006.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0
2007.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0
2008.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0
2009.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0
2010.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0
2011.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0
2012.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0
2013.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0
2014.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0
2015.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0
2016.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0
2017.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0
