time,MIROC6,UKESM1-0-LL,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,GFDL-ESM4,IITM-ESM,MRI-ESM2-0,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,CANESM5,EC-EARTH3
2000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0,27426394000000.0
2001.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0,27414529000000.0
2002.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0,27397385000000.0
2003.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0,27385393000000.0
2004.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0,27338381000000.0
2005.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0,27372881000000.0
2006.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0,27339312000000.0
2007.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0,27349395000000.0
2008.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0,27262108000000.0
2009.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0,27194917000000.0
2010.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0,27087155000000.0
2011.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0,27019763000000.0
2012.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0,26938935000000.0
2013.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0,26814278000000.0
2014.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0,26874065000000.0
