time,MPI-ESM-LR,GFDL-CM3,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,GISS-E2-R,CESM1-CAM5,IPSL-CM5A-LR,NORESM1-M,CANESM2,GFDL-ESM2G
2000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0
2001.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0
2002.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0
2003.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0
2004.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0
2005.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0
2006.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0
2007.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0
2008.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0
2009.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0
2010.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0
2011.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0
2012.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0
2013.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0
2014.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0
2015.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0
2016.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0
2017.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0
