time,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL,MRI-ESM2-0
2000.0,156274232976000.0,156274232976000.0,156274232976000.0,156274232976000.0,156274232976000.0
2001.0,156168383001000.0,156168383001000.0,156168383001000.0,156168383001000.0,156168383001000.0
2002.0,155979491738000.0,155979491738000.0,155979491738000.0,155979491738000.0,155979491738000.0
2003.0,155646947290000.0,155646947290000.0,155646947290000.0,155646947290000.0,155646947290000.0
2004.0,155336778273000.0,155336778273000.0,155336778273000.0,155336778273000.0,155336778273000.0
2005.0,155088265514000.0,155088265514000.0,155088265514000.0,155088265514000.0,155088265514000.0
2006.0,154882484219000.0,154882484219000.0,154882484219000.0,154882484219000.0,154882484219000.0
2007.0,154591040989000.0,154591040989000.0,154591040989000.0,154591040989000.0,154591040989000.0
2008.0,154189262043000.0,154189262043000.0,154189262043000.0,154189262043000.0,154189262043000.0
2009.0,153922605107000.0,153922605107000.0,153922605107000.0,153922605107000.0,153922605107000.0
2010.0,153412566460000.0,153412566460000.0,153412566460000.0,153412566460000.0,153412566460000.0
2011.0,153050340826000.0,153050340826000.0,153050340826000.0,153050340826000.0,153050340826000.0
2012.0,152694229449000.0,152694229449000.0,152694229449000.0,152694229449000.0,152694229449000.0
2013.0,152376499136000.0,152376499136000.0,152376499136000.0,152376499136000.0,152376499136000.0
2014.0,152040055618000.0,152040055618000.0,152040055618000.0,152040055618000.0,152040055618000.0
2015.0,151870052870000.0,151870052870000.0,151870052870000.0,151870052870000.0,151870052870000.0
2016.0,151581887798000.0,151581887798000.0,151581887798000.0,151581887798000.0,151581887798000.0
2017.0,151162958956000.0,151162958956000.0,151162958956000.0,151162958956000.0,151162958956000.0
2018.0,150748186826000.0,150748186826000.0,150748186826000.0,150748186826000.0,150748186826000.0
2019.0,150492631014000.0,150492631014000.0,150492631014000.0,150492631014000.0,150492631014000.0
2020.0,150049407322000.0,150049407322000.0,150049407322000.0,150049407322000.0,150049407322000.0
