time,MIROC6,CANESM5,CNRM-CM6-1,CESM2-WACCM,TAIESM1,UKESM1-0-LL,IITM-ESM,CNRM-ESM2-1,KACE-1-0-G,MRI-ESM2-0,GFDL-ESM4,EC-EARTH3,IPSL-CM6A-LR,MPI-ESM1-2-HR
2000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0,5147027000000.0
2001.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0,5147161000000.0
2002.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0,5144388000000.0
2003.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0,5152044000000.0
2004.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0,5150880600000.0
2005.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0,5105513000000.0
2006.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0,5085508700000.0
2007.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0,5066046000000.0
2008.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0,5048645500000.0
2009.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0,5003455500000.0
2010.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0,4982503000000.0
2011.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0,4969600600000.0
