time,CESM2-WACCM,TAIESM1,CNRM-CM6-1,CANESM5,MIROC6,MPI-ESM1-2-HR,EC-EARTH3,IPSL-CM6A-LR,KACE-1-0-G,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL,IITM-ESM,CNRM-ESM2-1
2000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0
2001.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0
2002.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0
2003.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0
2004.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0
2005.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0
2006.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0
2007.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0
2008.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0
2009.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0
2010.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0
2011.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0
2012.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0
2013.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0
2014.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0
2015.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0
