time,MPI-ESM-LR,NORESM1-M,GFDL-CM3,CANESM2,CNRM-CM5,IPSL-CM5A-LR,CESM1-CAM5,CSIRO-MK3-6-0,CCSM4,GISS-E2-R,GFDL-ESM2G
2000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0
2001.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0
2002.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0
2003.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0
2004.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0
2005.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0
2006.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0
2007.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0
2008.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0
2009.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0
